area,REP,COL,S,N,H,P,PRED,INF,UR,T,DEV3,SH3,C1LP,C3LP,C3LC,F3LP,F3LC,Fsa3,S3,Fca3,Cal3,P3,MU3,Nveg3,So3,LT3,LP3,Cit3,Rio3,AU3,NA3,AZ3,TOTAL 3
C3a,1,A,9,10,2.164,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,0.568831863,0.434414127,43.44141271,0.117056461,11.70564611,0.301204819,0.236239074,1.886959603,0,11.98322703,26.34360973,0.301204819,0,3.735530357,0.020670919,0.044294826,0,0,13.89381054,86.10618946,100
C3a,2,A,10,11,2.272,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,0.568831863,0.434414127,43.44141271,0.117056461,11.70564611,0.301204819,0.236239074,1.886959603,0,11.98322703,26.34360973,0.301204819,0,3.735530357,0.020670919,0.044294826,0,0,13.89381054,86.10618946,100
C3a,3,A,14,21,2.491,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,0.568831863,0.434414127,43.44141271,0.117056461,11.70564611,0.301204819,0.236239074,1.886959603,0,11.98322703,26.34360973,0.301204819,0,3.735530357,0.020670919,0.044294826,0,0,13.89381054,86.10618946,100
C3a,4,A,16,17,2.752,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,0.568831863,0.434414127,43.44141271,0.117056461,11.70564611,0.301204819,0.236239074,1.886959603,0,11.98322703,26.34360973,0.301204819,0,3.735530357,0.020670919,0.044294826,0,0,13.89381054,86.10618946,100
C3b,1,B,13,17,2.507,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,0.748331999,0.494418522,49.4419,0.117092907,11.7093,0.1181265,0.3839112,0.2303467,0,11.2042998,23.377237,0.3691454,0.2155809,2.4717973,0.006,0,0.4725061,0,12.5302793,87.4698716,100.0001509
C3b,2,B,4,4,1.386,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,0.748331999,0.494418522,49.4419,0.117092907,11.7093,0.1181265,0.3839112,0.2303467,0,11.2042998,23.377237,0.3691454,0.2155809,2.4717973,0.006,0,0.4725061,0,12.5302793,87.4698716,100.0001509
C3b,3,B,3,3,1.099,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,0.748331999,0.494418522,49.4419,0.117092907,11.7093,0.1181265,0.3839112,0.2303467,0,11.2042998,23.377237,0.3691454,0.2155809,2.4717973,0.006,0,0.4725061,0,12.5302793,87.4698716,100.0001509
C3b,4,B,7,7,1.946,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,0.748331999,0.494418522,49.4419,0.117092907,11.7093,0.1181265,0.3839112,0.2303467,0,11.2042998,23.377237,0.3691454,0.2155809,2.4717973,0.006,0,0.4725061,0,12.5302793,87.4698716,100.0001509
C3c,1,C,1,1,0,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,0.807435143,0.563929099,56.3929099,0.088271787,8.82717873,0.389955687,0.543574594,0,0.596750369,12.46381093,12.46381093,0.147710487,0,1.072378139,0,0.11816839,0.044313146,0,9.858197932,83.20236337,93.0605613
C3c,2,C,3,3,1.099,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,0.807435143,0.563929099,56.3929099,0.088271787,8.82717873,0.389955687,0.543574594,0,0.596750369,12.46381093,12.46381093,0.147710487,0,1.072378139,0,0.11816839,0.044313146,0,9.858197932,83.20236337,93.0605613
C3c,3,C,2,2,0.6931,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,0.807435143,0.563929099,56.3929099,0.088271787,8.82717873,0.389955687,0.543574594,0,0.596750369,12.46381093,12.46381093,0.147710487,0,1.072378139,0,0.11816839,0.044313146,0,9.858197932,83.20236337,93.0605613
C3c,4,C,6,8,1.733,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,0.807435143,0.563929099,56.3929099,0.088271787,8.82717873,0.389955687,0.543574594,0,0.596750369,12.46381093,12.46381093,0.147710487,0,1.072378139,0,0.11816839,0.044313146,0,9.858197932,83.20236337,93.0605613
